,week,state,Population,deaths,cases,negatives,Date,death_SMA,deaths_per_100000,cases_per_100000,positive_test_rate,timestamp
165,14,IA,3155070,18,532,4960,2020-04-05,11.0,0.04980645663736689,2.4088213573708344,0.0968681718863802,2020-04-05
164,14,HI,1415872,4,200,5755,2020-04-05,2.0,0.02017938667579313,2.017938667579313,0.033585222502099076,2020-04-05
174,14,ME,1344212,7,217,2694,2020-04-05,5.0,0.05313787663595581,2.306183846000482,0.07454482995534181,2020-04-05
173,14,MD,6045680,98,2370,12374,2020-04-05,59.0,0.13941477928986365,5.600220795202998,0.16074335322843192,2020-04-05
172,14,MA,6892503,271,7546,25331,2020-04-05,179.5,0.3720398401401805,15.640181803330373,0.2295221583477811,2020-04-05
171,14,LA,4648794,326,9470,22984,2020-04-05,228.5,0.7021790413353902,29.101249546810266,0.29179762124853637,2020-04-05
175,14,MI,9986857,799,8674,26737,2020-04-05,557.0,0.7967614693134043,12.407736058930825,0.24495213351783343,2020-04-05
169,14,KS,2913314,16,428,3282,2020-04-05,10.0,0.04903595796990741,2.0987390011120373,0.11536388140161725,2020-04-05
168,14,IN,6732219,95,2897,9925,2020-04-05,60.5,0.12838051083687477,6.147410576767376,0.22593979098424583,2020-04-05
167,14,IL,12671821,209,6660,24561,2020-04-05,132.5,0.1493753062686999,7.508222941505971,0.21331795906601325,2020-04-05
166,14,ID,1787065,5,816,5163,2020-04-05,5.0,0.039969766868340785,6.523065952913217,0.1364776718514802,2020-04-05
170,14,KY,4467673,31,523,10599,2020-04-05,18.5,0.05915511593747221,1.6723311154215117,0.04702391656176946,2020-04-05
240,15,OK,3956971,50,718,19389,2020-04-12,40.0,0.14441060382514084,2.5921703386612784,0.03570895707962401,2020-04-12
231,15,NC,10488084,50,1935,20159,2020-04-12,38.5,0.05244046481702473,2.6356441408037106,0.08758033855345343,2020-04-12
232,15,ND,762062,5,101,3462,2020-04-12,3.5,0.0656114594350591,1.8933592579831338,0.028346898680886894,2020-04-12
233,15,NE,1934408,9,428,4342,2020-04-12,7.5,0.055387931161811337,3.160804604967367,0.08972746331236897,2020-04-12
234,15,NH,1359711,14,308,2585,2020-04-12,10.5,0.11031756012858615,3.2359817637718606,0.10646387832699619,2020-04-12
235,15,NJ,8882190,1900,24345,20224,2020-04-12,1433.5,2.3055768260498177,39.1554013464826,0.5462316857008235,2020-04-12
236,15,NM,2096829,14,621,10758,2020-04-12,12.0,0.08175610477944144,4.230878422336095,0.054574215660427104,2020-04-12
237,15,NV,3080156,52,1000,6780,2020-04-12,50.0,0.2318992006527313,4.637984013054626,0.12853470437017994,2020-04-12
238,15,NY,19453561,5226,66663,92658,2020-04-12,4210.0,3.0916117179192613,48.953945831746246,0.4184194174026023,2020-04-12
239,15,OH,11689100,134,2561,16926,2020-04-12,112.0,0.1368796571164589,3.1299000167433157,0.1314209472981988,2020-04-12
242,15,PA,12801989,357,11323,35796,2020-04-12,234.5,0.26167808767840683,12.635313376471645,0.2403064581166833,2020-04-12
230,15,MT,1068778,0,101,2209,2020-04-12,2.5,0.0334160000620201,1.3500064025056118,0.043722943722943726,2020-04-12
244,15,SC,5148714,38,1270,11179,2020-04-12,33.0,0.09156239236216489,3.5237647969681634,0.10201622620290786,2020-04-12
245,15,SD,884659,4,490,2470,2020-04-12,2.5,0.040370680357387105,7.912653350047871,0.16554054054054054,2020-04-12
246,15,TN,6829174,57,1675,23702,2020-04-12,47.0,0.09831768401692086,3.5038749091136685,0.06600464987981243,2020-04-12
247,15,TX,28995881,144,6672,46923,2020-04-12,118.5,0.058382676589724694,3.287166398368296,0.12448922474111392,2020-04-12
248,15,UT,3205958,10,698,13140,2020-04-12,8.0,0.03564791375486338,3.1102804751118294,0.0504408151466975,2020-04-12
249,15,VA,8535519,90,2637,13677,2020-04-12,59.5,0.09958386830373174,4.413490096083035,0.16164030893710923,2020-04-12
250,15,VT,623989,5,221,2656,2020-04-12,7.5,0.17170632357759055,5.0596130014196685,0.07681612791101843,2020-04-12
251,15,WA,7614893,123,2068,26496,2020-04-12,136.0,0.2551391257706632,3.8796155301009674,0.07239882369416048,2020-04-12
252,15,WI,5822434,76,1321,10747,2020-04-12,65.5,0.1607084400981249,3.2411580056430993,0.10946304275770632,2020-04-12
253,15,WV,1792147,5,287,7132,2020-04-12,4.0,0.03188513952418922,2.2877587608605765,0.03868445882194366,2020-04-12
254,15,WY,578759,0,167,2158,2020-04-12,0.0,0.0,4.122120408864978,0.07182795698924731,2020-04-12
243,15,RI,1059361,38,1992,11546,2020-04-12,30.0,0.40455654736339036,26.86255474492912,0.14714137981976658,2020-04-12
229,15,MS,2976149,53,1143,13052,2020-04-12,41.0,0.19680274264302147,5.4864764595359405,0.0805213103205354,2020-04-12
241,15,OR,4217737,25,459,8675,2020-04-12,19.5,0.06604760528487873,1.554659016705607,0.050251806437486314,2020-04-12
227,15,MN,5639632,41,647,9940,2020-04-12,30.5,0.07725934701311818,1.6389113940159823,0.06111268536884859,2020-04-12
